year,MSA,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
2006,"Atlanta-Sandy Springs-Marietta, GA",49.2,14.2,34.3,5.9,72.6,20,11.9,186800,7.4
2006,"Austin-Round Rock, TX",48.7,13.7,30.9,5.9,75,17,13,164100,1.9
2006,"Baltimore-Towson, MD",47.2,14,31.4,5.5,71.8,21.4,9,300600,13.3
2006,"Birmingham-Hoover, AL",50.9,15.8,34.7,7.1,72.5,21.6,13.1,131400,12.5
2006,"Buffalo-Niagara Falls, NY",47.1,12.9,38,9.6,72.8,20.9,14.2,105000,7.5
2006,"Charlotte-Gastonia-Concord, NC-SC",52.1,14.7,29.4,7.3,72.8,20.2,11.5,157600,8.3
2006,"Cincinnati-Middletown, OH-KY-IN",50.4,13.4,39.8,7.4,74.6,19.4,11.9,152100,5.9
2006,"Cleveland-Elyria-Mentor, OH",46.8,13.5,41.7,9,70.5,22.6,12.5,149600,4.7
2006,"Columbus, OH",50.7,11.6,33.4,9.2,74.9,18.1,13.1,162100,6.6
2006,"Dallas-Fort Worth-Arlington, TX",51.9,18.8,27.8,6.3,74.4,18.2,12.9,141100,5.6
2006,"Denver-Aurora, CO",52.6,12.6,23.7,4.1,76.8,16,11.5,245200,4.4
2006,"Detroit-Warren-Livonia, MI",48.1,13.4,37.8,9.3,71.8,21.3,12.9,173400,11.3
2006,"Hartford-West Hartford-East Hartford, CT",50.9,12.3,26.5,6.2,76.8,17.9,9,246900,3.8
2006,"Houston-Sugar Land-Baytown, TX",50.6,21.2,33.6,7.6,72.7,19.6,14.9,129800,9.6
2006,"Indianapolis-Carmel, IN",51.5,12.8,35.9,7.9,74.1,18.9,11.2,140300,9.4
2006,"Jacksonville, FL",50,11.9,36.2,5.4,73.5,20.2,11.8,192800,10.6
2006,"Kansas City, MO-KS",52.8,10.4,34.3,7.5,75.7,18.2,10.7,153000,8.9
2006,"Las Vegas-Paradise, NV",50.3,17.1,29.1,3.8,71.5,18.3,10.3,320800,10.2
2006,"Los Angeles-Long Beach-Santa Ana, CA",46.1,23.2,31.3,4.1,70,20.8,14.1,604500,8.4
2006,"Louisville-Jefferson County, KY-IN",49.8,15.4,35.2,9.5,72.3,21.1,13.3,139000,4.7
2006,"Memphis, TN-MS-AR",43.2,17,51.2,13.4,62.1,28.9,17.8,125600,13.7
2006,"Miami-Fort Lauderdale-Miami Beach, FL",47.3,17.9,37.7,12.1,70.4,21.9,13.3,312500,7.6
2006,"Milwaukee-Waukesha-West Allis, WI",48.5,12.6,40.8,7.6,72.2,20.6,13,197300,7.4
2006,"Minneapolis-St. Paul-Bloomington, MN-WI",52.4,7.8,24.6,4.7,78.6,15.1,8.9,242100,3.5
2006,"New Orleans-Metairie-Kenner, LA",47,17.4,41.3,30.6,71.8,20.3,14.8,170200,21.7
2006,"New York-Northern New Jersey-Long Island, NY-NJ-PA",47.2,16.4,27.4,8.1,70,22.6,12.8,458700,5.2
2006,"Oklahoma City, OK",50.9,14.6,33.6,9.8,75.7,17.1,15.1,109600,7
2006,"Orlando-Kissimmee, FL",51.5,13.3,38.8,5.3,73.5,19.2,11.1,243100,8.1
2006,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",46.6,13.5,38.5,6.6,71.7,21.3,11.8,230300,9.5
