MSA_orig,MSA,MSA_abbr,year,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
"Akron, OH","Akron, OH",AKRON_OH,2007,50.5,9.9,28,8.8,75.7,18,13.4,147000,3.6
"Akron, OH","Akron, OH",AKRON_OH,2008,49.3,9.9,35.9,9.5,74.3,19.9,12.1,148300,3.4
"Akron, OH","Akron, OH",AKRON_OH,2009,48.1,10.1,42.4,12,73.2,20.7,14.7,142500,4
"Akron, OH","Akron, OH",AKRON_OH,2010,47.9,10.7,41,12.9,73.7,19.8,15.5,145000,3.7
"Akron, OH","Akron, OH",AKRON_OH,2011,46.8,9.1,38.2,14.5,72.9,21.7,16.6,139800,4.7
"Akron, OH","Akron, OH",AKRON_OH,2012,46.8,9.4,56.9,15,73.3,20.4,15.7,131800,3.8
"Akron, OH","Akron, OH",AKRON_OH,2013,46.2,8.9,34.8,13.9,73.6,19.6,15.4,136600,5.1
"Akron, OH","Akron, OH",AKRON_OH,2014,46.2,8.9,49.3,14.2,71.6,21.3,13.3,134700,4.8
"Akron, OH","Akron, OH",AKRON_OH,2015,46.7,8.5,30,13.7,72.7,20,14.2,146300,5.1
"Akron, OH","Akron, OH",AKRON_OH,2016,46.9,8.2,45.9,13.2,72.9,20.1,13.8,144200,6
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",ALBANY_NY,2007,47.4,10.4,30.3,6.6,75.4,17.8,10.1,184600,1.5
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",ALBANY_NY,2008,47.9,9.3,41.3,6.5,75.9,17.6,10.5,197400,2.7
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",ALBANY_NY,2009,48.2,9.6,30,7,76.1,18.1,9.9,200900,2.8
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",ALBANY_NY,2010,46.7,8.9,26.2,10.3,76.1,17.9,11.5,199000,1.5
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",ALBANY_NY,2011,46.3,7.9,30.8,9.7,75.3,19.2,11.5,197300,1.5
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",ALBANY_NY,2012,44.7,8,29.8,10.9,74.9,18.1,11,197000,2.6
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",ALBANY_NY,2013,47.3,7.9,33.3,11.7,76.7,16.9,12.5,195600,2.7
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",ALBANY_NY,2014,45,7.5,43.6,11.8,74.2,19.3,11.7,196900,3.6
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",ALBANY_NY,2016,44.2,8.4,43,11.2,74.5,18.8,9.9,210600,2
"Albuquerque, NM","Albuquerque, NM",ALBUQUERQUE_NM,2007,46.8,14.7,45.7,8.2,70.1,20.8,14.6,180400,8.2
"Albuquerque, NM","Albuquerque, NM",ALBUQUERQUE_NM,2008,47.9,13.5,45.1,7.7,71.6,20,14.5,192500,7.6
"Albuquerque, NM","Albuquerque, NM",ALBUQUERQUE_NM,2009,47.2,13.6,44.1,10.6,69.2,20.8,15.9,182600,7.9
"Albuquerque, NM","Albuquerque, NM",ALBUQUERQUE_NM,2010,46.9,13.2,44.6,12.1,69,20.6,17.2,183300,5.8
"Albuquerque, NM","Albuquerque, NM",ALBUQUERQUE_NM,2011,44.6,12.5,42.5,14.9,67.3,22.1,20.4,176800,5
"Albuquerque, NM","Albuquerque, NM",ALBUQUERQUE_NM,2012,45.6,12,36.9,15.6,69.1,21.7,18.5,175600,5.9
"Albuquerque, NM","Albuquerque, NM",ALBUQUERQUE_NM,2013,45,12.6,40.8,16.1,69.4,22.2,19.4,176900,5.9
"Albuquerque, NM","Albuquerque, NM",ALBUQUERQUE_NM,2014,45.4,12.1,36.7,13.8,68.4,22.4,19.2,173700,4.8
"Albuquerque, NM","Albuquerque, NM",ALBUQUERQUE_NM,2015,44.7,12.8,33.6,16.2,70.6,19.8,18.7,181800,6.1
"Albuquerque, NM","Albuquerque, NM",ALBUQUERQUE_NM,2016,44.3,11.6,44.8,15.5,69.9,22,16.9,183600,8.3
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",ALLENTOWN_PA,2007,52,13.6,37.7,6.2,76.8,17.5,8,215400,4.6
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",ALLENTOWN_PA,2008,52.5,13.2,32.3,6.9,76.6,16.8,9,226200,2.8
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",ALLENTOWN_PA,2009,52.1,13.3,44.1,8.1,77.9,16.3,10.2,216800,2.9
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",ALLENTOWN_PA,2010,51.3,12.3,37.7,9.8,76.2,17.2,11.7,218700,3.5
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",ALLENTOWN_PA,2011,50.9,13.1,43.2,10.6,75.9,17.6,11.8,208100,2.8
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",ALLENTOWN_PA,2012,50.1,11.1,38.9,10.6,74.9,18.3,10.5,196400,4.1
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",ALLENTOWN_PA,2013,50.6,11.3,42.4,11.1,75.9,18.1,12.4,197300,2.9
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",ALLENTOWN_PA,2014,50.5,10.3,46,11.1,76.7,17.7,11.2,195900,2.2
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",ALLENTOWN_PA,2016,49,10.2,46,12,74,18.2,11.6,207400,2.6
"Atlanta-Sandy Springs-Marietta, GA","Atlanta-Sandy Springs-Marietta, GA",ATLANTA_GA,2006,49.2,14.2,34.3,5.9,72.6,20,11.9,186800,7.4
"Atlanta-Sandy Springs-Marietta, GA","Atlanta-Sandy Springs-Marietta, GA",ATLANTA_GA,2007,49.5,13.5,33.4,5.8,72.9,20.5,11.2,194700,8.7
"Atlanta-Sandy Springs-Marietta, GA","Atlanta-Sandy Springs-Marietta, GA",ATLANTA_GA,2008,48.9,12.7,35.8,7,72.3,21.1,11.7,199300,7.4
